German,English
ganze,whole
andere,other
getan,did
okay,OK
rein,pure
Diese,This
Moment,moment
bleiben,stay
brauchen,to need
Weil,because
Kinder,children
unter,under
Arbeit,work
Für,For
Problem,problem
dafür,Therefore
Herr,Mister
Haben,To have
wegen,because
geht's,Is it possible
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,Her
ne,ne
gegen,versus
Weißt,White
Sag,say
schnell,quickly
nun,well
eines,one
brauche,need
Abend,evening
hatten,had
Jahre,Years
Mach,Make
Bruder,Brothers
Sache,Matter
hören,Listen
komm,come
Sohn,Son
seit,since
Morgen,morning
drei,three
steht,stands
Scheiße,crap
mag,like
sei,be
unser,our
konnte,could
habt,have
Oder,or
einmal,once
heißt,called
OK,OK
Willst,Want
Kopf,head
Hilfe,Help
Familie,family
Geh,Walk
Baby,infant
Dich,You
Sind,Are
erst,first
fertig,finished
gefunden,found
seid,are
kam,came
nehmen,take
morgen,morning
sprechen,speak
Mir,Me
sofort,instantly
Kann,Can
Hat,Has
Jahren,Years
Kind,child
seinen,his
Genau,Exactly
daran,to it
Junge,Young
Minuten,Minute
bevor,before
Stadt,city
beim,at the
sterben,die
warst,beings
Recht,Right
glauben,believe
Warte,Wait
darüber,about that
deiner,yours
deinem,yours
Ende,End
He,Hey
Dinge,things
Namen,Names
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,nothing
Wirklich,For real
bekommen,to get
Männer,men
vergessen,forget
Doch,Yet
dazu,to
gab,gave
später,later
wusste,knew
Augen,Eyes
Dank,Thanks to
Freunde,friends
Jungs,guys
halten,keep
warten,waiting
Glück,happiness                                                                                           
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Yours
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,come
Dir,To you
mache,make
Von,Of
Uhr,watch
sehe,see
Teufel,Devil
sonst,otherwise
Art,Kind
gern,gladly
Liebe,love
jeden,every
könnten,might
ihren,their
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,a little
eigentlich,actually
weit,far
mach,make
Gib,Give
vorbei,over
verstehe,understand
danke,thanks
drin,in it
Im,in the
Name,Surname
ganzen,entire
Musik,music
würden,would
Tür,door
verrückt,crazy
solltest,should
denken,think
Noch,still
dran,your turn
Sieh,See
lieber,rather
Den,The
leben,Life
Guten,good
Um,Around
darauf,thereon
Kein,No
stimmt,Right
Kerl,Guy
letzte,last
Job,job
verloren,lost
wurden,became
kenne,know
Ahnung,Idea
seiner,his
Grund,reason
toll,Great
Bis,until
Verdammt,Damned
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,Behind
Schon,Nice
Sehr,very
Hand,hand
darf,may
Dieser,This
Frauen,Women
Euch,You
Idee,idea
runter,down
Macht,Makes
draußen,outside
lang,long
Land,country
lass,let
Typ,Type
hätten,have
egal,no matter
arbeiten,work
spät,late
stehen,stand
ok,OK
Gute,Quality
gekommen,came
Bei,at
etwa,about
essen,meal
kleine,small
jeder,everyone
Schwester,sister
Wasser,water
spielen,to play
Geschichte,story
seinem,his
liegt,lies
sah,saw
Mom,Mom
Seite,side
wenig,little
ruhig,calm
Frage,question
meinst,mean
überhaupt,at all
fahren,drive
Ganz,All
Gehen,Walk
Essen,meal
Ruhe,Quiet
echt,real
versucht,tries
Tochter,daughter
Kommt,Comes
Einen,A
ging,went
Jahr,Year
braucht,needs
fast,nearly
neue,new
geh,walk
ziemlich,quite
anders,different
siehst,see
Polizei,police
Stunden,hours
musste,had to
Spiel,Game
gewesen,been
gerne,gladly
finde,find
erzählt,told
Tod,Death
Ort,location
Chance,chance
bedeutet,means
War,Was
sag,say
sagst,say
fragen,ask
letzten,last
sogar,even
ersten,first
Sachen,Things
Wahrheit,truth
einzige,only
kurz,short
denen,whom
Kommen,Come
Spaß,fun
Nach,To
oben,above
Mama,mummy
schwer,difficult
Schule,school
je,ever
eben,even
Gesicht,face
bestimmt,definitely
treffen,meeting
niemand,nobody
Woche,Week
Entschuldigung,Excuse me
Sorgen,To care
warte,wait
natürlich,naturally
schlecht,bad
große,size
getötet,killed
verstehen,to understand
hoffe,hope
Ah,Ah
Sei,Be
Zimmer,Room
hoch,high
unserer,ours
Tage,Days
Teil,Part
Wann,When
suchen,Looking for
verlassen,leaving
zeigen,demonstrate
wollten,wanted to
lässt,leaves
Wort,Word
eins,one
zwischen,in between
Woher,Where from
Schatz,Treasure
Wissen,knowledge
versuchen,to attempt
Können,Be able
Kannst,Can
nett,kind
Zu,to
kriegen,get
Geht,Goes
Arsch,ass
kleinen,small
Hab,Have
weiss,White
erste,first
läuft,runs
kommst,come
Freundin,girlfriend
Mensch,person
beiden,both
Ding,thing
niemals,No way
endlich,at last
Nimm,take
muß,got to
gehst,walking
Heute,today
denkst,thinking
Herz,heart
Waffe,weapon
Soll,Should
tust,tust
Dollar,dollar
nehme,take
Schau,show
holen,to fetch
oft,often
drauf,on it
anderes,other
Niemand,No one
unten,below
Wagen,Car
Yeah,Yeah
Schön,Nice
wichtig,important
Mrs,MRS
hättest,would have
allen,all
Miss,Miss
ihrer,of their
gedacht,thought
Nummer,number
würdest,would
erzählen,tell
bleibt,remains
Auch,Also
Hände,hands
Blut,blood
Sehen,See
bloß,just
recht,Law
bringt,brings
Bett,bed
Lassen,To let
Eltern,parents
gefällt,pleases
Schuld,fault
eure,your
Plan,plan
Krieg,War
neuen,new
Klar,Clear
retten,rescue
guter,goods
während,while
ihrem,hers
wären,be
Fehler,mistake
scheint,seems
Lasst,Leaves
gegeben,given
An,On
hör,listening
glücklich,happy
verdammt,Damn it
alt,old
Platz,place
darum,therefore
Vielen,Many
falsch,not correct
unseren,ours
schlafen,sleep
Sagen,To say
nächsten,next
fünf,five
frei,free
Sorge,Worries
Vor,before
fest,Celebration
bereits,already
alleine,alone
Denn,Then
Zwei,Two
Fragen,Questions
möglich,possible
irgendwie,somehow
Papa,father
lernen,to learn
gestern,yesterday
hierher,here
Schiff,Ship
vier,four
irgendwas,anything
Stimmt,Is correct
Menge,Crowd
keiner,none
brauchst,needs
Typen,Guy
Dass,That
Stunde,Hour
Szene,scene
Hölle,hell
einige,some
Deshalb,That's why
geworden,become
Telefon,phone
Darf,May
Feuer,Fire
Wollen,Want
Bin,Am
Alter,age
Captain,Captain
Aus,Out of
Dieses,This
Probleme,Problems
Jeder,Everyone
verstanden,Roger that
wann,when
alten,old
gibt's,Is there
sondern,but
guten,good
zwar,that is
eigenen,own
New,New
Körper,Body
hört,hear
Zum,To the
gebe,gift
Kumpel,Dude
Hund,dog
nochmal,once again
hab's,got it
früh,early
Hören,Listen
trinken,drink
besten,best
meines,mine
schaffen,create
alte,old
Luft,Air
Jemand,Someone
dürfen,allowed to
Meister,master
Erde,Earth
Seit,Since
Sicher,Secure
Hört,Hear
Zukunft,future
kaum,hardly
funktioniert,is working
voll,full
Bleib,Stay
reicht,enough
weh,sore
stellen,place
Siehst,See
kleiner,smaller
großen,huge
Waffen,weapons
Büro,office
Wahl,choice
verlieren,to lose
Wochen,Weeks
Damit,In order to
Stück,piece
lieben,love
allem,all
getroffen,met
äh,ah
Am,At the
geschafft,made
tue,do
gefallen,favor
Tja,Well
Boss,boss
überall,all over
Sieht,Sees
passieren,happen
lustig,fun
Licht,light
gebracht,brought
nennen,to name
Folge,Consequence
Gefühl,feeling
völlig,fully
denkt,thinks
Schlüssel,key
drüben,over there
Richtig,Right
wieso,how come
Leuten,People
Buch,A book
laufen,to run
spielt,plays
früher,previously
Sein,being
krank,Sick
gegangen,gone
fand,found
Seine,His
Pass,passport
fühle,feel
Himmel,heaven
froh,joyful
leicht,easy
direkt,direct
langsam,slow
wolltest,wanted
erinnern,recall
zuerst,first
Krankenhaus,hospital
Viel,A lot of
beste,best
welche,Which
genommen,taken
Arzt,physician
unserem,ours
Idiot,idiot
Machen,Make
glaubst,believe
jede,every
Ohne,Without
groß,big
hattest,hate
Äh,Ah
Jungen,Boys
Rest,rest
Unsere,Our
versuche,tries
Tagen,Days
nächste,next
Entschuldigen,To apologize
Doktor,doctor
spricht,speaks
könnt,can
hält,holds
Team,team
Verstanden,Roger that
kämpfen,battle
heiraten,marry
könntest,might
Wow,Wow
Etwas,Some
Straße,Street
Mist,Damn
König,king
redest,speech
kleines,small
lebt,lives
erklären,to explain
worden,gone
Millionen,millions
Wiedersehen,Reunite
Onkel,uncle
kennst,know
sitzen,sit
dies,this
weniger,fewer
Kaffee,Coffee
ernst,serious
wollt,want
tragen,wear
Zeug,Things
trotzdem,Nevertheless
Ihren,Their
kaufen,to buy
Liste,list
ändern,change
Kampf,Battle
hasse,hate
Person,person
Mund,mouth
umbringen,kill
Präsident,president
Boden,floor
Wohin,Where
machte,made
Party,party
gefragt,asked
Seht,Look
irgendwo,somewhere
kümmern,To take care of
kennt,knows
verletzt,hurt
Habt,Have
Nachricht,news
Willkommen,Welcome
vielen,many
hart,hard
lasse,let
total,total
Gefängnis,prison
außer,except
Sicherheit,security
Schnell,Quickly
wem,whom
ehrlich,honest
interessiert,Interested
Sex,sex
sagten,said
ziehen,draw
Welche,which
Unser,Our
Augenblick,moment
angerufen,called
aufhören,stop
Klasse,class
Bild,picture
stark,strong
Dies,This
Eure,Your
zehn,ten
Sinn,sense
vorstellen,introduce
Traum,Dream
länger,longer
manchmal,sometimes
anrufen,call up
sechs,six
Arschloch,asshole
sollst,thorough
gestorben,died
Tages,Day
war's,Was it
verschwinden,disappear
Kraft,power
gesprochen,spoken
heraus,out of here
genauso,just like that
wärst,be
Eins,one
damals,back then
heißen,mean
Liebling,darling
wahrscheinlich,probably
deshalb,for this reason
Stelle,Job
halt,stop
erwartet,expected
solche,such
meisten,most
bringe,bring
still,quiet
umgebracht,killed
Stimme,Voice
General,general
Geben,Give
Entschuldige,excuse me
Vergiss,Forgetful
rede,speech
führen,to lead
Bewegung,movement
höre,listen
Sonst,Otherwise
Geschäft,business
werdet,become
konnten,could
wartet,waiting
Raus,Out
